Aircraft
Dassault Rafale
EH
HAL Tejas
Conversion trainer
Multirole
Sukhoi Su-30MKI
Mikoyan MiG-29
Fulcrum B
Dassault Mirage 2000
-2000TH
SEPECAT Jaguar
IS
IM
Mikoyan-Gurevich MiG-21
AEW&CS
Embraer R-99
Beriev A-50
Reconnaissance
Boeing 707
Global 5000
Gulfstream III
Boeing 737
Gulfstream G100
Tanker
Ilyushin Il-78
Transport
Boeing 777
Embraer Legacy 600
Boeing C-17
Ilyushin Il-76
C-130J Super Hercules
Airbus A321
Antonov An-32
Airbus C-295
Hawker Siddeley HS 748
Dornier 228
Helicopters
Boeing AH-64
Mil Mi-24
HAL Prachand
HAL Rudra
CH-47 Chinook
Mil Mi-17
HAL Dhruv
HAL Light Utility Helicopter
Alouette III
Cheetal
SA 315B Lama
Trainer Aircraft
BAE Hawk
HAL Kiran
HAL HTT-40
Pilatus PC-7
Pipistrel Virus
UAV
IAI Heron
[38]
IAI Searcher
MQ-9 Reaper
loitering munition
Kadet
